Timestamp;Nome Modulo;ID;Mensagem;;;;;;;
1.000; Dynamics module sensor errors; 0x12;;100;;100;;0;;100
1.000; Thermal sensor module; 0x21;;6900;;15101;;7601;;19902
1.000; Thermal sensor module; 0x22;;1500;;13303;;12803;;502
1.050; Dynamics module data; 0x11;;0;;21000;;0;;17201
1.050; Dynamics module sensor errors; 0x12;;0;;100;;100;;100
1.050; Thermal sensor module; 0x21;;12501;;18003;;13400;;16203
1.050; Thermal sensor module; 0x22;;18501;;16003;;3402;;18601
1.100; Dynamics module data; 0x11;;0;;6701;;0;;13901
1.100; Dynamics module sensor errors; 0x12;;0;;0;;0;;100
1.100; Thermal sensor module; 0x21;;6302;;9801;;2703;;801
1.100; Thermal sensor module; 0x22;;14602;;18100;;22401;;21201
1.150; Dynamics module data; 0x11;;0;;19601;;0;;23200
1.150; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
1.150; Thermal sensor module; 0x21;;20100;;6603;;1902;;12103
1.150; Thermal sensor module; 0x22;;15200;;18801;;3103;;10000
1.200; Dynamics module data; 0x11;;0;;6101;;0;;1401
1.200; Dynamics module sensor errors; 0x12;;100;;100;;0;;100
1.200; Thermal sensor module; 0x21;;20701;;603;;803;;12701
1.200; Thermal sensor module; 0x22;;22403;;12703;;8301;;21102
1.250; Dynamics module data; 0x11;;0;;20800;;0;;7201
1.250; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
1.250; Thermal sensor module; 0x21;;14201;;19801;;6503;;19600
1.250; Thermal sensor module; 0x22;;23800;;12600;;24902;;16203
1.300; Dynamics module data; 0x11;;0;;11701;;0;;21100
1.300; Dynamics module sensor errors; 0x12;;100;;0;;100;;0
1.300; Thermal sensor module; 0x21;;12300;;21900;;9101;;18201
1.300; Thermal sensor module; 0x22;;19103;;17100;;16801;;15500
1.350; Dynamics module data; 0x11;;0;;8800;;0;;3801
1.350; Dynamics module sensor errors; 0x12;;100;;0;;100;;100
1.350; Thermal sensor module; 0x21;;3602;;6202;;9003;;21700
1.350; Thermal sensor module; 0x22;;22501;;23002;;9100;;22900
1.400; Dynamics module data; 0x11;;0;;7400;;0;;15601
1.400; Dynamics module sensor errors; 0x12;;0;;0;;0;;100
1.400; Thermal sensor module; 0x21;;3702;;20803;;13900;;2900
1.400; Thermal sensor module; 0x22;;101;;18400;;2300;;22601
1.450; Dynamics module data; 0x11;;0;;5300;;0;;14500
1.450; Dynamics module sensor errors; 0x12;;100;;0;;100;;0
1.450; Thermal sensor module; 0x21;;1102;;21101;;402;;1803
1.450; Thermal sensor module; 0x22;;16301;;15501;;3402;;9202
1.500; Dynamics module data; 0x11;;0;;16500;;0;;15301
1.500; Dynamics module sensor errors; 0x12;;100;;0;;0;;0
1.500; Thermal sensor module; 0x21;;2800;;2202;;4100;;19401
1.500; Thermal sensor module; 0x22;;21202;;0;;13700;;20200
1.550; Dynamics module data; 0x11;;0;;22800;;0;;18001
1.550; Dynamics module sensor errors; 0x12;;0;;100;;0;;100
1.550; Thermal sensor module; 0x21;;2703;;14003;;20700;;12600
1.550; Thermal sensor module; 0x22;;1101;;16702;;4101;;20700
1.600; Dynamics module data; 0x11;;0;;24500;;0;;21301
1.600; Dynamics module sensor errors; 0x12;;100;;0;;0;;100
1.600; Thermal sensor module; 0x21;;19101;;16601;;19600;;13501
1.600; Thermal sensor module; 0x22;;18603;;5702;;12602;;12303
1.650; Dynamics module data; 0x11;;0;;13201;;0;;9101
1.650; Dynamics module sensor errors; 0x12;;0;;0;;0;;100
1.650; Thermal sensor module; 0x21;;20500;;10703;;7602;;15800
1.650; Thermal sensor module; 0x22;;22400;;13600;;17402;;24701
1.700; Dynamics module data; 0x11;;0;;7600;;0;;23701
1.700; Dynamics module sensor errors; 0x12;;0;;0;;100;;100
1.700; Thermal sensor module; 0x21;;6400;;10901;;5201;;23500
1.700; Thermal sensor module; 0x22;;24202;;17201;;3700;;13200
1.750; Dynamics module data; 0x11;;0;;7800;;0;;10000
1.750; Dynamics module sensor errors; 0x12;;100;;100;;0;;100
1.750; Thermal sensor module; 0x21;;9501;;12601;;10600;;19303
1.750; Thermal sensor module; 0x22;;17203;;3100;;16103;;1001
1.800; Dynamics module data; 0x11;;0;;12701;;0;;6401
1.800; Dynamics module sensor errors; 0x12;;0;;0;;0;;0
1.800; Thermal sensor module; 0x21;;15002;;13400;;5902;;1502
1.800; Thermal sensor module; 0x22;;10002;;103;;2303;;12500
1.850; Dynamics module data; 0x11;;0;;24301;;0;;14700
1.850; Dynamics module sensor errors; 0x12;;100;;100;;100;;0
1.850; Thermal sensor module; 0x21;;1901;;18200;;300;;7900
1.850; Thermal sensor module; 0x22;;25401;;19603;;13902;;5100
1.900; Dynamics module data; 0x11;;0;;3800;;0;;6101
1.900; Dynamics module sensor errors; 0x12;;0;;100;;0;;0
1.900; Thermal sensor module; 0x21;;16100;;20801;;19903;;1801
1.900; Thermal sensor module; 0x22;;0;;11201;;15503;;7800
1.950; Dynamics module data; 0x11;;0;;5101;;0;;17400
1.950; Dynamics module sensor errors; 0x12;;0;;0;;0;;0
1.950; Thermal sensor module; 0x21;;23900;;22700;;400;;19301
1.950; Thermal sensor module; 0x22;;1400;;16601;;11600;;25500
2.000; Dynamics module data; 0x11;;0;;18800;;0;;18700
2.000; Dynamics module sensor errors; 0x12;;100;;100;;100;;100
2.000; Thermal sensor module; 0x21;;3302;;5800;;1601;;13202
2.000; Thermal sensor module; 0x22;;7003;;12003;;19402;;2401
2.050; Dynamics module data; 0x11;;0;;7001;;0;;15101
2.050; Dynamics module sensor errors; 0x12;;100;;0;;0;;100
2.050; Thermal sensor module; 0x21;;18100;;25301;;11902;;23700
2.050; Thermal sensor module; 0x22;;23602;;22301;;22703;;3201
2.100; Dynamics module data; 0x11;;0;;17101;;0;;1901
2.100; Dynamics module sensor errors; 0x12;;100;;0;;0;;0
2.100; Thermal sensor module; 0x21;;11802;;14902;;23902;;22202
2.100; Thermal sensor module; 0x22;;3000;;9001;;21200;;2503
2.150; Dynamics module data; 0x11;;0;;17801;;0;;14301
2.150; Dynamics module sensor errors; 0x12;;0;;0;;0;;0
2.150; Thermal sensor module; 0x21;;7501;;22003;;14802;;21401
2.150; Thermal sensor module; 0x22;;17602;;6901;;8902;;14901
2.200; Dynamics module data; 0x11;;0;;21400;;0;;19501
2.200; Dynamics module sensor errors; 0x12;;100;;100;;0;;100
2.200; Thermal sensor module; 0x21;;6400;;21700;;20401;;7801
2.200; Thermal sensor module; 0x22;;16000;;13502;;22403;;25202
2.250; Dynamics module data; 0x11;;0;;6300;;0;;4100
2.250; Dynamics module sensor errors; 0x12;;0;;0;;100;;0
2.250; Thermal sensor module; 0x21;;1102;;12700;;19500;;16900
2.250; Thermal sensor module; 0x22;;2603;;6502;;14202;;12602
2.300; Dynamics module data; 0x11;;0;;1301;;0;;22300
2.300; Dynamics module sensor errors; 0x12;;100;;100;;0;;100
2.300; Thermal sensor module; 0x21;;12002;;17403;;19802;;11802
2.300; Thermal sensor module; 0x22;;5202;;2101;;16703;;15801
2.350; Dynamics module data; 0x11;;0;;1600;;0;;16100
2.350; Dynamics module sensor errors; 0x12;;100;;100;;100;;0
2.350; Thermal sensor module; 0x21;;16401;;10301;;3401;;24002
2.350; Thermal sensor module; 0x22;;24300;;13103;;2401;;5202
2.400; Dynamics module data; 0x11;;0;;11001;;0;;23600
2.400; Dynamics module sensor errors; 0x12;;100;;0;;100;;100
2.400; Thermal sensor module; 0x21;;10800;;2000;;11801;;3800
2.400; Thermal sensor module; 0x22;;21002;;12401;;10403;;18501
2.450; Dynamics module data; 0x11;;0;;14900;;0;;6101
2.450; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
2.450; Thermal sensor module; 0x21;;602;;15600;;5202;;5002
2.450; Thermal sensor module; 0x22;;12103;;7403;;20202;;9402
2.500; Dynamics module data; 0x11;;0;;14400;;0;;16300
2.500; Dynamics module sensor errors; 0x12;;100;;0;;0;;0
2.500; Thermal sensor module; 0x21;;19702;;13800;;4303;;8502
2.500; Thermal sensor module; 0x22;;14701;;15003;;25201;;18002
2.550; Dynamics module data; 0x11;;0;;7600;;0;;24301
2.550; Dynamics module sensor errors; 0x12;;0;;0;;100;;100
2.550; Thermal sensor module; 0x21;;12001;;16601;;14302;;12702
2.550; Thermal sensor module; 0x22;;8501;;8003;;13003;;19703
2.600; Dynamics module data; 0x11;;0;;14201;;0;;5901
2.600; Dynamics module sensor errors; 0x12;;100;;100;;0;;0
2.600; Thermal sensor module; 0x21;;15601;;23301;;17403;;6702
2.600; Thermal sensor module; 0x22;;502;;4100;;18603;;23201
2.650; Dynamics module data; 0x11;;0;;11801;;0;;24200
2.650; Dynamics module sensor errors; 0x12;;100;;100;;100;;0
2.650; Thermal sensor module; 0x21;;20401;;10100;;22800;;18403
2.650; Thermal sensor module; 0x22;;12003;;19502;;11303;;15100
2.700; Dynamics module data; 0x11;;0;;7900;;0;;8601
2.700; Dynamics module sensor errors; 0x12;;100;;100;;0;;100
2.700; Thermal sensor module; 0x21;;4702;;23300;;12602;;13602
2.700; Thermal sensor module; 0x22;;24101;;18303;;19503;;25202
2.750; Dynamics module data; 0x11;;0;;7700;;0;;20500
2.750; Dynamics module sensor errors; 0x12;;0;;0;;0;;100
2.750; Thermal sensor module; 0x21;;22503;;10400;;20200;;14001
2.750; Thermal sensor module; 0x22;;3200;;7601;;9401;;22200
2.800; Dynamics module data; 0x11;;0;;10600;;0;;16601
2.800; Dynamics module sensor errors; 0x12;;100;;0;;100;;100
2.800; Thermal sensor module; 0x21;;7201;;3403;;12402;;16500
2.800; Thermal sensor module; 0x22;;17602;;22202;;20601;;23200
2.850; Dynamics module data; 0x11;;0;;7900;;0;;8600
2.850; Dynamics module sensor errors; 0x12;;100;;100;;100;;0
2.850; Thermal sensor module; 0x21;;5602;;8003;;3301;;2700
2.850; Thermal sensor module; 0x22;;23901;;21903;;19302;;3402
2.900; Dynamics module data; 0x11;;0;;15200;;0;;16800
2.900; Dynamics module sensor errors; 0x12;;0;;0;;100;;0
2.900; Thermal sensor module; 0x21;;23701;;8402;;13501;;18500
2.900; Thermal sensor module; 0x22;;18500;;11001;;22801;;14803
2.950; Dynamics module data; 0x11;;0;;13400;;0;;11400
2.950; Dynamics module sensor errors; 0x12;;0;;100;;0;;0
2.950; Thermal sensor module; 0x21;;14300;;22901;;20301;;8602
2.950; Thermal sensor module; 0x22;;21100;;5603;;14800;;3300
3.000; Dynamics module data; 0x11;;0;;15200;;0;;7301
3.000; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
3.000; Thermal sensor module; 0x21;;10401;;23802;;10502;;13201
3.000; Thermal sensor module; 0x22;;22703;;17700;;23700;;10502
3.050; Dynamics module data; 0x11;;0;;5500;;0;;10101
3.050; Dynamics module sensor errors; 0x12;;0;;0;;100;;0
3.050; Thermal sensor module; 0x21;;20700;;13503;;21401;;6801
3.050; Thermal sensor module; 0x22;;7801;;9001;;12500;;18901
3.100; Dynamics module data; 0x11;;0;;9300;;0;;13101
3.100; Dynamics module sensor errors; 0x12;;100;;100;;0;;0
3.100; Thermal sensor module; 0x21;;13600;;16202;;11900;;19901
3.100; Thermal sensor module; 0x22;;13602;;10102;;5602;;23802
3.150; Dynamics module data; 0x11;;0;;15701;;0;;6101
3.150; Dynamics module sensor errors; 0x12;;100;;0;;100;;0
3.150; Thermal sensor module; 0x21;;8003;;23801;;10600;;2101
3.150; Thermal sensor module; 0x22;;20601;;17903;;16401;;1303
3.200; Dynamics module data; 0x11;;0;;7601;;0;;16200
3.200; Dynamics module sensor errors; 0x12;;100;;0;;100;;100
3.200; Thermal sensor module; 0x21;;9303;;20603;;14702;;20001
3.200; Thermal sensor module; 0x22;;7102;;19602;;24601;;20403
3.250; Dynamics module data; 0x11;;0;;24000;;0;;2400
3.250; Dynamics module sensor errors; 0x12;;100;;0;;0;;100
3.250; Thermal sensor module; 0x21;;3401;;13001;;15201;;25002
3.250; Thermal sensor module; 0x22;;13302;;11301;;22600;;14602
3.300; Dynamics module data; 0x11;;0;;7600;;0;;200
3.300; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
3.300; Thermal sensor module; 0x21;;7901;;6700;;4502;;11402
3.300; Thermal sensor module; 0x22;;22300;;17202;;16600;;1700
3.350; Dynamics module data; 0x11;;0;;2800;;0;;5200
3.350; Dynamics module sensor errors; 0x12;;0;;0;;100;;0
3.350; Thermal sensor module; 0x21;;602;;21000;;18401;;1000
3.350; Thermal sensor module; 0x22;;14603;;22101;;14300;;16303
3.400; Dynamics module data; 0x11;;0;;14601;;0;;14001
3.400; Dynamics module sensor errors; 0x12;;0;;100;;0;;100
3.400; Thermal sensor module; 0x21;;2903;;3200;;13201;;17001
3.400; Thermal sensor module; 0x22;;21000;;4600;;12102;;21501
3.450; Dynamics module data; 0x11;;0;;12600;;0;;4501
3.450; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
3.450; Thermal sensor module; 0x21;;16201;;5502;;5700;;13302
3.450; Thermal sensor module; 0x22;;502;;23101;;17803;;7200
3.500; Dynamics module data; 0x11;;0;;3300;;0;;20801
3.500; Dynamics module sensor errors; 0x12;;100;;0;;100;;100
3.500; Thermal sensor module; 0x21;;24900;;24702;;902;;20202
3.500; Thermal sensor module; 0x22;;9503;;23301;;5401;;13401
3.550; Dynamics module data; 0x11;;0;;19101;;0;;21000
3.550; Dynamics module sensor errors; 0x12;;0;;100;;100;;100
3.550; Thermal sensor module; 0x21;;15201;;7301;;11501;;1102
3.550; Thermal sensor module; 0x22;;12601;;24601;;23502;;7301
3.600; Dynamics module data; 0x11;;0;;6200;;0;;6100
3.600; Dynamics module sensor errors; 0x12;;0;;0;;0;;0
3.600; Thermal sensor module; 0x21;;5800;;7801;;6802;;1701
3.600; Thermal sensor module; 0x22;;25400;;1502;;6201;;21200
3.650; Dynamics module data; 0x11;;0;;5500;;0;;4700
3.650; Dynamics module sensor errors; 0x12;;100;;0;;0;;100
3.650; Thermal sensor module; 0x21;;3800;;5602;;3201;;14902
3.650; Thermal sensor module; 0x22;;18900;;23602;;9202;;701
3.700; Dynamics module data; 0x11;;0;;8401;;0;;22101
3.700; Dynamics module sensor errors; 0x12;;0;;0;;0;;100
3.700; Thermal sensor module; 0x21;;19300;;9401;;21203;;7202
3.700; Thermal sensor module; 0x22;;13500;;7001;;13702;;8303
3.750; Dynamics module data; 0x11;;0;;22601;;0;;6901
3.750; Dynamics module sensor errors; 0x12;;100;;100;;100;;0
3.750; Thermal sensor module; 0x21;;15800;;13901;;19703;;21001
3.750; Thermal sensor module; 0x22;;1802;;3103;;21000;;20903
3.800; Dynamics module data; 0x11;;0;;1601;;0;;17601
3.800; Dynamics module sensor errors; 0x12;;100;;0;;100;;100
3.800; Thermal sensor module; 0x21;;14800;;13503;;11302;;5400
3.800; Thermal sensor module; 0x22;;21801;;10303;;19002;;11501
3.850; Dynamics module data; 0x11;;0;;15801;;0;;12601
3.850; Dynamics module sensor errors; 0x12;;100;;0;;100;;0
3.850; Thermal sensor module; 0x21;;23902;;12403;;7702;;6702
3.850; Thermal sensor module; 0x22;;23702;;7202;;13603;;12003
3.900; Dynamics module data; 0x11;;0;;2300;;0;;3101
3.900; Dynamics module sensor errors; 0x12;;0;;0;;0;;0
3.900; Thermal sensor module; 0x21;;4402;;5703;;21203;;1903
3.900; Thermal sensor module; 0x22;;22400;;8201;;23702;;5001
3.950; Dynamics module data; 0x11;;0;;4701;;0;;23401
3.950; Dynamics module sensor errors; 0x12;;100;;0;;0;;100
3.950; Thermal sensor module; 0x21;;4902;;12902;;11001;;3003
3.950; Thermal sensor module; 0x22;;12602;;19901;;17201;;18703
4.000; Dynamics module data; 0x11;;0;;7201;;0;;7901
4.000; Dynamics module sensor errors; 0x12;;100;;0;;0;;100
4.000; Thermal sensor module; 0x21;;11303;;14803;;25302;;25501
4.000; Thermal sensor module; 0x22;;1503;;18300;;21601;;4200
4.050; Dynamics module data; 0x11;;0;;24700;;0;;20801
4.050; Dynamics module sensor errors; 0x12;;100;;100;;100;;0
4.050; Thermal sensor module; 0x21;;23500;;17101;;6400;;8503
4.050; Thermal sensor module; 0x22;;20600;;6802;;16600;;21800
4.100; Dynamics module data; 0x11;;0;;16300;;0;;10000
4.100; Dynamics module sensor errors; 0x12;;0;;100;;0;;0
4.100; Thermal sensor module; 0x21;;16401;;24700;;23501;;18700
4.100; Thermal sensor module; 0x22;;23200;;3001;;23601;;22602
4.150; Dynamics module data; 0x11;;0;;6501;;0;;18801
4.150; Dynamics module sensor errors; 0x12;;100;;100;;0;;0
4.150; Thermal sensor module; 0x21;;23101;;7403;;14801;;12002
4.150; Thermal sensor module; 0x22;;13900;;1400;;14300;;23701
4.200; Dynamics module data; 0x11;;0;;22901;;0;;19201
4.200; Dynamics module sensor errors; 0x12;;100;;0;;100;;0
4.200; Thermal sensor module; 0x21;;1902;;13901;;15903;;16603
4.200; Thermal sensor module; 0x22;;14701;;13402;;400;;14701
4.250; Dynamics module data; 0x11;;0;;8701;;0;;15401
4.250; Dynamics module sensor errors; 0x12;;100;;100;;100;;0
4.250; Thermal sensor module; 0x21;;9200;;16502;;17801;;25400
4.250; Thermal sensor module; 0x22;;13402;;14201;;7101;;16502
4.300; Dynamics module data; 0x11;;0;;23301;;0;;6800
4.300; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
4.300; Thermal sensor module; 0x21;;17603;;13600;;9700;;5602
4.300; Thermal sensor module; 0x22;;6502;;8003;;16602;;2801
4.350; Dynamics module data; 0x11;;0;;20300;;0;;7300
4.350; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
4.350; Thermal sensor module; 0x21;;19403;;20601;;22500;;20701
4.350; Thermal sensor module; 0x22;;8000;;2903;;25300;;20900
4.400; Dynamics module data; 0x11;;0;;18801;;0;;19400
4.400; Dynamics module sensor errors; 0x12;;0;;0;;100;;0
4.400; Thermal sensor module; 0x21;;19301;;23802;;7202;;4201
4.400; Thermal sensor module; 0x22;;24800;;13200;;1002;;1303
4.450; Dynamics module data; 0x11;;0;;14100;;0;;2801
4.450; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
4.450; Thermal sensor module; 0x21;;2502;;25102;;8201;;21101
4.450; Thermal sensor module; 0x22;;3102;;8803;;17003;;7300
4.500; Dynamics module data; 0x11;;0;;11901;;0;;3301
4.500; Dynamics module sensor errors; 0x12;;100;;100;;0;;100
4.500; Thermal sensor module; 0x21;;18401;;4502;;22803;;5102
4.500; Thermal sensor module; 0x22;;10601;;4202;;20902;;23000
4.550; Dynamics module data; 0x11;;0;;6300;;0;;12000
4.550; Dynamics module sensor errors; 0x12;;0;;0;;100;;100
4.550; Thermal sensor module; 0x21;;11302;;6902;;12403;;14701
4.550; Thermal sensor module; 0x22;;7702;;9001;;1301;;5402
4.600; Dynamics module data; 0x11;;0;;16300;;0;;25200
4.600; Dynamics module sensor errors; 0x12;;0;;100;;100;;0
4.600; Thermal sensor module; 0x21;;11501;;2802;;15002;;17101
4.600; Thermal sensor module; 0x22;;7800;;5803;;9903;;12000
4.650; Dynamics module data; 0x11;;0;;13300;;0;;4401
4.650; Dynamics module sensor errors; 0x12;;0;;0;;100;;0
4.650; Thermal sensor module; 0x21;;12302;;18800;;24001;;3003
4.650; Thermal sensor module; 0x22;;24102;;13001;;23900;;3801
4.700; Dynamics module data; 0x11;;0;;9401;;0;;15901
4.700; Dynamics module sensor errors; 0x12;;0;;100;;100;;100
4.700; Thermal sensor module; 0x21;;6800;;23701;;600;;18700
4.700; Thermal sensor module; 0x22;;300;;3502;;16701;;17800
4.750; Dynamics module data; 0x11;;0;;1701;;0;;1301
4.750; Dynamics module sensor errors; 0x12;;100;;100;;0;;0
4.750; Thermal sensor module; 0x21;;1301;;12800;;3702;;15601
4.750; Thermal sensor module; 0x22;;1800;;23902;;3902;;15601
4.800; Dynamics module data; 0x11;;0;;18401;;0;;24700
4.800; Dynamics module sensor errors; 0x12;;100;;100;;100;;100
4.800; Thermal sensor module; 0x21;;16201;;15001;;17100;;1802
4.800; Thermal sensor module; 0x22;;1101;;11001;;501;;23602
4.850; Dynamics module data; 0x11;;0;;20401;;0;;1900
4.850; Dynamics module sensor errors; 0x12;;100;;0;;0;;100
4.850; Thermal sensor module; 0x21;;8802;;9602;;24400;;16500
4.850; Thermal sensor module; 0x22;;2601;;5802;;1400;;14900
4.900; Dynamics module data; 0x11;;0;;23701;;0;;19201
4.900; Dynamics module sensor errors; 0x12;;100;;100;;0;;100
4.900; Thermal sensor module; 0x21;;14103;;3202;;9400;;9602
4.900; Thermal sensor module; 0x22;;9302;;7602;;17501;;15901
4.950; Dynamics module data; 0x11;;0;;3900;;0;;16500
4.950; Dynamics module sensor errors; 0x12;;0;;100;;0;;100
4.950; Thermal sensor module; 0x21;;25302;;15701;;2900;;13800
4.950; Thermal sensor module; 0x22;;21602;;1903;;10002;;23502
5.000; Dynamics module data; 0x11;;0;;2900;;0;;10001
5.000; Dynamics module sensor errors; 0x12;;0;;100;;100;;100
5.000; Thermal sensor module; 0x21;;6901;;13800;;22202;;19700
5.000; Thermal sensor module; 0x22;;6502;;17000;;8300;;9802
5.050; Dynamics module data; 0x11;;0;;15501;;0;;15700
5.050; Dynamics module sensor errors; 0x12;;100;;100;;100;;0
5.050; Thermal sensor module; 0x21;;24201;;24802;;9502;;10600
5.050; Thermal sensor module; 0x22;;22000;;5001;;20003;;3701
5.100; Dynamics module data; 0x11;;0;;3200;;0;;3900
5.100; Dynamics module sensor errors; 0x12;;0;;0;;100;;100
5.100; Thermal sensor module; 0x21;;9801;;18202;;7600;;5001
5.100; Thermal sensor module; 0x22;;9501;;12300;;903;;5401
5.150; Dynamics module data; 0x11;;0;;23300;;0;;3401
5.150; Dynamics module sensor errors; 0x12;;100;;0;;0;;0
5.150; Thermal sensor module; 0x21;;11301;;13500;;21801;;3002
5.150; Thermal sensor module; 0x22;;4601;;5501;;9101;;16401
5.200; Dynamics module data; 0x11;;0;;8001;;0;;20500
5.200; Dynamics module sensor errors; 0x12;;0;;0;;0;;0
5.200; Thermal sensor module; 0x21;;18801;;14603;;10301;;10200
5.200; Thermal sensor module; 0x22;;15100;;11000;;1800;;3300
5.250; Dynamics module data; 0x11;;0;;12600;;0;;18100
5.250; Dynamics module sensor errors; 0x12;;0;;0;;0;;100
5.250; Thermal sensor module; 0x21;;3202;;25002;;15203;;5301
