Timestamp;Nome Modulo;ID; Byte 0 e 1;Byte 1 e 2;Byte 2 e 3;Byte 3 e 4;
0.000; Dynamics module data; 0x11;0000;5701;0000;10801
0.600; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
0.600; Thermal sensor module; 0x21;19701;14301;19902;22903
0.600; Thermal sensor module; 0x22;15402;1400;12502;19500
0.650; Dynamics module data; 0x11;0000;0601;0000;8900
0.650; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
0.650; Thermal sensor module; 0x21;7100;10803;18703;21501
0.650; Thermal sensor module; 0x22;7202;22001;0802;20303
0.700; Dynamics module data; 0x11;0000;9500;0000;11400
0.700; Dynamics module sensor errors; 0x12;0100;0100;0100;0100
0.700; Thermal sensor module; 0x21;23701;25102;6102;14800
0.700; Thermal sensor module; 0x22;1202;21500;7801;20901
0.750; Dynamics module data; 0x11;0000;20601;0000;8500
0.750; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
0.750; Thermal sensor module; 0x21;24900;11500;20702;16900
0.750; Thermal sensor module; 0x22;7901;8203;3201;15501
0.800; Dynamics module data; 0x11;0000;12400;0000;3500
0.800; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
0.800; Thermal sensor module; 0x21;12302;21603;24300;5100
0.800; Thermal sensor module; 0x22;20300;3602;4700;14102
0.850; Dynamics module data; 0x11;0000;12800;0000;16401
0.850; Dynamics module sensor errors; 0x12;0100;0100;0100;0100
0.850; Thermal sensor module; 0x21;25201;18201;4002;14401
0.850; Thermal sensor module; 0x22;7302;19303;20503;11602
0.900; Dynamics module data; 0x11;0000;2100;0000;7901
0.900; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
0.900; Thermal sensor module; 0x21;14903;20400;20002;10802
0.900; Thermal sensor module; 0x22;20901;8700;14600;0603
0.950; Dynamics module data; 0x11;0000;18600;0000;8300
0.950; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
0.950; Thermal sensor module; 0x21;17601;21400;2802;9103
0.950; Thermal sensor module; 0x22;8502;6600;20701;7903
1.000; Dynamics module data; 0x11;0000;19900;0000;23301
1.000; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
1.000; Thermal sensor module; 0x21;0503;1600;14101;7601
1.000; Thermal sensor module; 0x22;15003;1501;1301;7601
1.050; Dynamics module data; 0x11;0000;18801;0000;9101
1.050; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
1.050; Thermal sensor module; 0x21;7003;2500;10001;16301
1.050; Thermal sensor module; 0x22;25200;25100;15000;10702
1.100; Dynamics module data; 0x11;0000;1101;0000;24900
1.100; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
1.100; Thermal sensor module; 0x21;7501;22903;1802;15003
1.100; Thermal sensor module; 0x22;15201;13900;4902;8903
1.150; Dynamics module data; 0x11;0000;10900;0000;4200
1.150; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
1.150; Thermal sensor module; 0x21;14101;18501;9600;5600
1.150; Thermal sensor module; 0x22;20403;20500;16100;24102
1.200; Dynamics module data; 0x11;0000;23800;0000;8301
1.200; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
1.200; Thermal sensor module; 0x21;15701;14501;23100;16002
1.200; Thermal sensor module; 0x22;16900;0501;13403;15402
1.250; Dynamics module data; 0x11;0000;9200;0000;2401
1.250; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
1.250; Thermal sensor module; 0x21;3702;17200;13603;20101
1.250; Thermal sensor module; 0x22;21502;19301;12900;0903
1.300; Dynamics module data; 0x11;0000;15901;0000;9701
1.300; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
1.300; Thermal sensor module; 0x21;21301;21401;20403;11401
1.300; Thermal sensor module; 0x22;18401;10800;14003;8201
1.350; Dynamics module data; 0x11;0000;3801;0000;8601
1.350; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
1.350; Thermal sensor module; 0x21;7902;19601;6802;15901
1.350; Thermal sensor module; 0x22;2903;10100;14302;8200
1.400; Dynamics module data; 0x11;0000;4201;0000;0201
1.400; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
1.400; Thermal sensor module; 0x21;17903;14702;11203;7702
1.400; Thermal sensor module; 0x22;0603;19201;18602;23900
1.450; Dynamics module data; 0x11;0000;5801;0000;18000
1.450; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
1.450; Thermal sensor module; 0x21;2601;21602;4300;10501
1.450; Thermal sensor module; 0x22;23600;9101;9602;1300
1.500; Dynamics module data; 0x11;0000;8600;0000;23601
1.500; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
1.500; Thermal sensor module; 0x21;14903;10303;18101;12901
1.500; Thermal sensor module; 0x22;1001;11303;8202;24902
1.550; Dynamics module data; 0x11;0000;15200;0000;16001
1.550; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
1.550; Thermal sensor module; 0x21;5401;7902;5402;18401
1.550; Thermal sensor module; 0x22;20602;20103;6300;21701
1.600; Dynamics module data; 0x11;0000;12301;0000;10601
1.600; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
1.600; Thermal sensor module; 0x21;14903;20401;16903;17302
1.600; Thermal sensor module; 0x22;9203;9502;21002;1703
1.650; Dynamics module data; 0x11;0000;10100;0000;25000
1.650; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
1.650; Thermal sensor module; 0x21;3501;17902;5301;10701
1.650; Thermal sensor module; 0x22;15500;4903;13100;11102
1.700; Dynamics module data; 0x11;0000;10801;0000;25500
1.700; Dynamics module sensor errors; 0x12;0000;0000;0100;0100
1.700; Thermal sensor module; 0x21;15401;22503;10103;3301
1.700; Thermal sensor module; 0x22;22802;14702;13102;21503
1.750; Dynamics module data; 0x11;0000;15100;0000;14500
1.750; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
1.750; Thermal sensor module; 0x21;0203;2701;1600;1903
1.750; Thermal sensor module; 0x22;7300;10603;12303;13402
1.800; Dynamics module data; 0x11;0000;7701;0000;6501
1.800; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
1.800; Thermal sensor module; 0x21;25300;4602;2502;17503
1.800; Thermal sensor module; 0x22;17103;15502;18903;7402
1.850; Dynamics module data; 0x11;0000;19200;0000;4700
1.850; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
1.850; Thermal sensor module; 0x21;19501;16702;8700;0800
1.850; Thermal sensor module; 0x22;24200;16301;16000;0702
1.900; Dynamics module data; 0x11;0000;7200;0000;23401
1.900; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
1.900; Thermal sensor module; 0x21;25302;8303;13200;23601
1.900; Thermal sensor module; 0x22;3203;9600;20701;3402
1.950; Dynamics module data; 0x11;0000;15201;0000;20801
1.950; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
1.950; Thermal sensor module; 0x21;24401;7901;24901;21702
1.950; Thermal sensor module; 0x22;2101;3003;0201;21701
2.000; Dynamics module data; 0x11;0000;10901;0000;19901
2.000; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
2.000; Thermal sensor module; 0x21;19400;8803;22302;21902
2.000; Thermal sensor module; 0x22;18701;19402;0300;12101
2.050; Dynamics module data; 0x11;0000;17600;0000;22301
2.050; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
2.050; Thermal sensor module; 0x21;24700;17902;14400;3901
2.050; Thermal sensor module; 0x22;5902;0201;0900;22903
2.100; Dynamics module data; 0x11;0000;18700;0000;19000
2.100; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
2.100; Thermal sensor module; 0x21;20402;0500;21901;4202
2.100; Thermal sensor module; 0x22;4501;13801;10302;7703
2.150; Dynamics module data; 0x11;0000;22601;0000;4800
2.150; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
2.150; Thermal sensor module; 0x21;17903;14701;22600;17702
2.150; Thermal sensor module; 0x22;13100;3903;20500;13903
2.200; Dynamics module data; 0x11;0000;12200;0000;17901
2.200; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
2.200; Thermal sensor module; 0x21;18001;15401;18201;3303
2.200; Thermal sensor module; 0x22;11700;11800;7603;20603
2.250; Dynamics module data; 0x11;0000;19500;0000;4601
2.250; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
2.250; Thermal sensor module; 0x21;6401;8701;9603;2402
2.250; Thermal sensor module; 0x22;18101;10101;11701;22602
2.300; Dynamics module data; 0x11;0000;14000;0000;0100
2.300; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
2.300; Thermal sensor module; 0x21;10502;16700;24802;16101
2.300; Thermal sensor module; 0x22;17903;18401;22602;11700
2.350; Dynamics module data; 0x11;0000;23501;0000;7801
2.350; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
2.350; Thermal sensor module; 0x21;19902;6403;24102;14701
2.350; Thermal sensor module; 0x22;4903;11600;5901;7502
2.400; Dynamics module data; 0x11;0000;5501;0000;12101
2.400; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
2.400; Thermal sensor module; 0x21;22003;7702;18702;1002
2.400; Thermal sensor module; 0x22;13601;21500;5601;6502
2.450; Dynamics module data; 0x11;0000;13500;0000;22200
2.450; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
2.450; Thermal sensor module; 0x21;15900;14801;24700;19500
2.450; Thermal sensor module; 0x22;16802;12400;5302;3700
2.500; Dynamics module data; 0x11;0000;20300;0000;16201
2.500; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
2.500; Thermal sensor module; 0x21;15502;17801;16603;10703
2.500; Thermal sensor module; 0x22;5903;20200;11202;24302
2.550; Dynamics module data; 0x11;0000;19800;0000;14801
2.550; Dynamics module sensor errors; 0x12;0100;0100;0100;0100
2.550; Thermal sensor module; 0x21;16903;4400;4800;1502
2.550; Thermal sensor module; 0x22;16102;2103;11502;23300
2.600; Dynamics module data; 0x11;0000;2601;0000;19601
2.600; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
2.600; Thermal sensor module; 0x21;0800;16802;19203;13302
2.600; Thermal sensor module; 0x22;1200;17902;16000;0303
2.650; Dynamics module data; 0x11;0000;13900;0000;24301
2.650; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
2.650; Thermal sensor module; 0x21;17100;20902;21300;12000
2.650; Thermal sensor module; 0x22;3701;7202;2301;6202
2.700; Dynamics module data; 0x11;0000;10600;0000;8300
2.700; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
2.700; Thermal sensor module; 0x21;21903;2901;13801;10300
2.700; Thermal sensor module; 0x22;15601;3303;16902;2402
2.750; Dynamics module data; 0x11;0000;1800;0000;23301
2.750; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
2.750; Thermal sensor module; 0x21;19901;8100;17402;10200
2.750; Thermal sensor module; 0x22;6602;4300;0801;20502
2.800; Dynamics module data; 0x11;0000;3700;0000;22401
2.800; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
2.800; Thermal sensor module; 0x21;4200;9901;22802;0200
2.800; Thermal sensor module; 0x22;13002;4402;19501;24302
2.850; Dynamics module data; 0x11;0000;9400;0000;7901
2.850; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
2.850; Thermal sensor module; 0x21;7700;1402;22703;0800
2.850; Thermal sensor module; 0x22;13802;9502;6103;11003
2.900; Dynamics module data; 0x11;0000;2700;0000;3301
2.900; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
2.900; Thermal sensor module; 0x21;0703;2401;8500;14902
2.900; Thermal sensor module; 0x22;2203;22802;19002;10702
2.950; Dynamics module data; 0x11;0000;11900;0000;21301
2.950; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
2.950; Thermal sensor module; 0x21;20302;13403;9200;1500
2.950; Thermal sensor module; 0x22;12502;22101;21502;24802
3.000; Dynamics module data; 0x11;0000;13100;0000;12900
3.000; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
3.000; Thermal sensor module; 0x21;24900;11001;17503;11300
3.000; Thermal sensor module; 0x22;2403;1701;17003;11300
3.050; Dynamics module data; 0x11;0000;14100;0000;19200
3.050; Dynamics module sensor errors; 0x12;0100;0100;0100;0100
3.050; Thermal sensor module; 0x21;23502;22702;0002;19402
3.050; Thermal sensor module; 0x22;23302;21903;14203;11602
3.100; Dynamics module data; 0x11;0000;23801;0000;8500
3.100; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
3.100; Thermal sensor module; 0x21;15300;13203;12802;21402
3.100; Thermal sensor module; 0x22;15302;11501;9403;22101
3.150; Dynamics module data; 0x11;0000;1000;0000;2201
3.150; Dynamics module sensor errors; 0x12;0000;0000;0100;0100
3.150; Thermal sensor module; 0x21;1200;3602;12001;2602
3.150; Thermal sensor module; 0x22;24001;0303;13800;23300
3.200; Dynamics module data; 0x11;0000;10601;0000;1900
3.200; Dynamics module sensor errors; 0x12;0000;0000;0100;0000
3.200; Thermal sensor module; 0x21;12602;10502;13701;6702
3.200; Thermal sensor module; 0x22;12803;10602;19501;2201
3.250; Dynamics module data; 0x11;0000;11501;0000;7300
3.250; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
3.250; Thermal sensor module; 0x21;20700;5700;22800;14203
3.250; Thermal sensor module; 0x22;18603;8402;9002;12000
3.300; Dynamics module data; 0x11;0000;22301;0000;6100
3.300; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
3.300; Thermal sensor module; 0x21;4002;21501;2602;8903
3.300; Thermal sensor module; 0x22;10201;15002;16101;3600
3.350; Dynamics module data; 0x11;0000;10601;0000;4201
3.350; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
3.350; Thermal sensor module; 0x21;2703;18601;19603;7101
3.350; Thermal sensor module; 0x22;21302;1302;0003;8803
3.400; Dynamics module data; 0x11;0000;8100;0000;6401
3.400; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
3.400; Thermal sensor module; 0x21;13603;14101;25102;15100
3.400; Thermal sensor module; 0x22;18502;0702;20800;8802
3.450; Dynamics module data; 0x11;0000;2000;0000;18201
3.450; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
3.450; Thermal sensor module; 0x21;9600;9503;6403;18902
3.450; Thermal sensor module; 0x22;1101;20001;6603;1001
3.500; Dynamics module data; 0x11;0000;1000;0000;1001
3.500; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
3.500; Thermal sensor module; 0x21;9303;24300;10803;23000
3.500; Thermal sensor module; 0x22;10700;24501;3102;2602
3.550; Dynamics module data; 0x11;0000;8400;0000;0301
3.550; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
3.550; Thermal sensor module; 0x21;12600;16003;19900;11903
3.550; Thermal sensor module; 0x22;1901;16401;22502;22102
3.600; Dynamics module data; 0x11;0000;19600;0000;14800
3.600; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
3.600; Thermal sensor module; 0x21;5500;7303;6002;19703
3.600; Thermal sensor module; 0x22;9203;3301;8801;0102
3.650; Dynamics module data; 0x11;0000;12401;0000;23601
3.650; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
3.650; Thermal sensor module; 0x21;11001;15703;6701;5401
3.650; Thermal sensor module; 0x22;3801;20903;14903;13100
3.700; Dynamics module data; 0x11;0000;21401;0000;3401
3.700; Dynamics module sensor errors; 0x12;0000;0100;0000;0100
3.700; Thermal sensor module; 0x21;25401;0700;13203;12502
3.700; Thermal sensor module; 0x22;0300;11302;3300;14200
3.750; Dynamics module data; 0x11;0000;24200;0000;24400
3.750; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
3.750; Thermal sensor module; 0x21;19901;12603;1801;10503
3.750; Thermal sensor module; 0x22;15501;5503;6101;12100
3.800; Dynamics module data; 0x11;0000;10101;0000;7800
3.800; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
3.800; Thermal sensor module; 0x21;22701;0500;0401;21401
3.800; Thermal sensor module; 0x22;15202;8703;5101;8902
3.850; Dynamics module data; 0x11;0000;9300;0000;3501
3.850; Dynamics module sensor errors; 0x12;0000;0100;0100;0000
3.850; Thermal sensor module; 0x21;17001;9100;6101;4903
3.850; Thermal sensor module; 0x22;2600;18200;5901;11302
3.900; Dynamics module data; 0x11;0000;12701;0000;22201
3.900; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
3.900; Thermal sensor module; 0x21;10902;1200;19602;2300
3.900; Thermal sensor module; 0x22;23502;12901;3801;8800
3.950; Dynamics module data; 0x11;0000;15200;0000;2601
3.950; Dynamics module sensor errors; 0x12;0100;0100;0100;0100
3.950; Thermal sensor module; 0x21;7800;17202;25102;6901
3.950; Thermal sensor module; 0x22;8300;15801;9303;9901
4.000; Dynamics module data; 0x11;0000;6300;0000;6801
4.000; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
4.000; Thermal sensor module; 0x21;1201;0201;11600;5602
4.000; Thermal sensor module; 0x22;23700;22503;18602;6203
4.050; Dynamics module data; 0x11;0000;8801;0000;24100
4.050; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
4.050; Thermal sensor module; 0x21;1902;10601;9401;17402
4.050; Thermal sensor module; 0x22;9502;17503;8401;4600
4.100; Dynamics module data; 0x11;0000;22400;0000;7101
4.100; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
4.100; Thermal sensor module; 0x21;16100;7202;1100;17903
4.100; Thermal sensor module; 0x22;14802;0602;11800;4901
4.150; Dynamics module data; 0x11;0000;7900;0000;10601
4.150; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
4.150; Thermal sensor module; 0x21;18501;21102;11602;10701
4.150; Thermal sensor module; 0x22;9303;2500;15201;17902
4.200; Dynamics module data; 0x11;0000;11501;0000;20401
4.200; Dynamics module sensor errors; 0x12;0100;0000;0000;0100
4.200; Thermal sensor module; 0x21;1101;11903;4200;22101
4.200; Thermal sensor module; 0x22;11502;14301;21902;1800
4.250; Dynamics module data; 0x11;0000;1801;0000;4901
4.250; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
4.250; Thermal sensor module; 0x21;4102;9601;3803;22900
4.250; Thermal sensor module; 0x22;23801;2901;15303;5001
4.300; Dynamics module data; 0x11;0000;2100;0000;22301
4.300; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
4.300; Thermal sensor module; 0x21;20302;20500;20900;4903
4.300; Thermal sensor module; 0x22;21503;14203;14503;0801
4.350; Dynamics module data; 0x11;0000;18101;0000;5201
4.350; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
4.350; Thermal sensor module; 0x21;9802;5000;16402;2803
4.350; Thermal sensor module; 0x22;16000;10503;3002;21001
4.400; Dynamics module data; 0x11;0000;2501;0000;14501
4.400; Dynamics module sensor errors; 0x12;0000;0000;0100;0100
4.400; Thermal sensor module; 0x21;4702;5202;9603;5202
4.400; Thermal sensor module; 0x22;19403;10602;0803;10801
4.450; Dynamics module data; 0x11;0000;21801;0000;2501
4.450; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
4.450; Thermal sensor module; 0x21;21203;6303;17402;16702
4.450; Thermal sensor module; 0x22;6103;7803;13700;23500
4.500; Dynamics module data; 0x11;0000;19701;0000;22600
4.500; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
4.500; Thermal sensor module; 0x21;1700;17801;24700;19303
4.500; Thermal sensor module; 0x22;3503;25102;19202;12503
4.550; Dynamics module data; 0x11;0000;23401;0000;20600
4.550; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
4.550; Thermal sensor module; 0x21;0801;11302;10003;20703
4.550; Thermal sensor module; 0x22;3702;2103;7200;16603
4.600; Dynamics module data; 0x11;0000;18701;0000;1800
4.600; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
4.600; Thermal sensor module; 0x21;0003;1701;20502;9401
4.600; Thermal sensor module; 0x22;3501;8901;4900;19601
4.650; Dynamics module data; 0x11;0000;8400;0000;7701
4.650; Dynamics module sensor errors; 0x12;0000;0100;0000;0000
4.650; Thermal sensor module; 0x21;19701;11103;14100;11503
4.650; Thermal sensor module; 0x22;9402;16401;17202;21100
4.700; Dynamics module data; 0x11;0000;24700;0000;11900
4.700; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
4.700; Thermal sensor module; 0x21;11703;24002;24402;1903
4.700; Thermal sensor module; 0x22;5700;19603;15402;17601
4.750; Dynamics module data; 0x11;0000;9701;0000;23201
4.750; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
4.750; Thermal sensor module; 0x21;23500;23301;1003;22001
4.750; Thermal sensor module; 0x22;18601;22103;9201;20100
4.800; Dynamics module data; 0x11;0000;5900;0000;13400
4.800; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
4.800; Thermal sensor module; 0x21;15902;22200;17001;17801
4.800; Thermal sensor module; 0x22;22902;7602;14800;20202
4.850; Dynamics module data; 0x11;0000;23701;0000;16500
4.850; Dynamics module sensor errors; 0x12;0000;0000;0000;0000
4.850; Thermal sensor module; 0x21;22600;3000;17103;0100
4.850; Thermal sensor module; 0x22;20100;11003;10603;4101
4.900; Dynamics module data; 0x11;0000;12301;0000;24700
4.900; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
4.900; Thermal sensor module; 0x21;5403;25300;19201;8803
4.900; Thermal sensor module; 0x22;8702;24900;5503;1801
4.950; Dynamics module data; 0x11;0000;3501;0000;3300
4.950; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
4.950; Thermal sensor module; 0x21;20300;6403;11201;13902
4.950; Thermal sensor module; 0x22;12902;2502;10803;21803
5.000; Dynamics module data; 0x11;0000;18600;0000;1200
5.000; Dynamics module sensor errors; 0x12;0000;0000;0100;0100
5.000; Thermal sensor module; 0x21;19503;14001;12603;3203
5.000; Thermal sensor module; 0x22;10401;4300;3501;1501
5.050; Dynamics module data; 0x11;0000;13800;0000;13200
5.050; Dynamics module sensor errors; 0x12;0100;0000;0000;0000
5.050; Thermal sensor module; 0x21;14901;13403;18502;16201
5.050; Thermal sensor module; 0x22;6803;24500;14801;17300
5.100; Dynamics module data; 0x11;0000;17300;0000;20001
5.100; Dynamics module sensor errors; 0x12;0000;0000;0100;0100
5.100; Thermal sensor module; 0x21;15701;11503;18703;11100
5.100; Thermal sensor module; 0x22;13500;20303;12000;19400
5.150; Dynamics module data; 0x11;0000;21700;0000;7600
5.150; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
5.150; Thermal sensor module; 0x21;23300;20801;18901;2902
5.150; Thermal sensor module; 0x22;9703;13802;3202;13801
5.200; Dynamics module data; 0x11;0000;6801;0000;17600
5.200; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
5.200; Thermal sensor module; 0x21;14002;18602;17600;4803
5.200; Thermal sensor module; 0x22;2001;2300;7703;1803
5.250; Dynamics module data; 0x11;0000;11100;0000;4500
5.250; Dynamics module sensor errors; 0x12;0100;0100;0100;0000
5.250; Thermal sensor module; 0x21;1400;19003;18203;6103
5.250; Thermal sensor module; 0x22;12103;16003;7202;13600
5.300; Dynamics module data; 0x11;0000;21300;0000;24100
5.300; Dynamics module sensor errors; 0x12;0100;0000;0100;0100
5.300; Thermal sensor module; 0x21;8803;24901;22203;6502
5.300; Thermal sensor module; 0x22;24002;9603;4300;4803
5.350; Dynamics module data; 0x11;0000;9900;0000;19800
5.350; Dynamics module sensor errors; 0x12;0100;0000;0100;0000
5.350; Thermal sensor module; 0x21;0400;4003;20203;3303
5.350; Thermal sensor module; 0x22;12301;13501;8600;19101
5.400; Dynamics module data; 0x11;0000;12300;0000;9200
5.400; Dynamics module sensor errors; 0x12;0000;0100;0100;0100
5.400; Thermal sensor module; 0x21;13003;18500;17900;23400
5.400; Thermal sensor module; 0x22;2602;19901;0201;7503
5.450; Dynamics module data; 0x11;0000;5300;0000;0201
5.450; Dynamics module sensor errors; 0x12;0000;0000;0100;0100
5.450; Thermal sensor module; 0x21;15503;9501;8200;8200
5.450; Thermal sensor module; 0x22;9501;15901;11300;9600
5.500; Dynamics module data; 0x11;0000;6701;0000;4300
5.500; Dynamics module sensor errors; 0x12;0000;0000;0000;0100
5.500; Thermal sensor module; 0x21;4100;6400;15901;19603
5.500; Thermal sensor module; 0x22;15403;5103;2602;17202
5.550; Dynamics module data; 0x11;0000;9401;0000;17301
5.550; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
5.550; Thermal sensor module; 0x21;9201;16102;0502;19102
5.550; Thermal sensor module; 0x22;13300;23202;16003;20302
5.600; Dynamics module data; 0x11;0000;8400;0000;7900
5.600; Dynamics module sensor errors; 0x12;0100;0100;0000;0000
5.600; Thermal sensor module; 0x21;22101;22300;18803;14302
5.600; Thermal sensor module; 0x22;1701;11500;15502;15501
5.650; Dynamics module data; 0x11;0000;5300;0000;12501
5.650; Dynamics module sensor errors; 0x12;0100;0100;0000;0100
